epoch,train_loss,val_loss
1.0,0.5414188912286769,0.2145062328789772
2.0,0.468625066189386,0.23670322003990713
3.0,0.43632460871395706,0.22211732170999252
4.0,0.4162872686530604,0.24036037716199252
5.0,0.3969706743119408,0.24951345210123543
6.0,0.37865596320626443,0.2420942874669226
7.0,0.3616737352744765,0.26519809402399996
8.0,0.3481012405838094,0.2617577598853545
9.0,0.33878805858786526,0.2670168339804768
10.0,0.32962761443070693,0.2957847260866904
11.0,0.31700683763934306,0.27401027253982596
