feature,importance
weather_precipitation_days,0.14980787991068234
ndvi_p25,0.055301276128269204
weather_solar_radiation_mean,0.05454314303879984
weather_gdd,0.044422439200997046
ag_brown_yellow_pixel_ratio,0.04289099767334411
ag_mean_brightness,0.040692584068058084
weather_cold_stress_days,0.038462779415851356
weather_temp_mean,0.03790501727979734
month_sin,0.03687056341611662
weather_temp_min,0.03471974797524429
ag_soil_exposure_ratio,0.033047817791632066
ndvi_above_0_3_ratio,0.03242569173429784
weather_temp_range_mean,0.029944930880282373
weather_total_precipitation,0.028444191584156245
weather_humidity_mean,0.02839116710953684
weather_wind_mean,0.027526750015966446
ag_field_uniformity_score,0.026818968953540332
weather_heavy_rain_days,0.026642638961080285
ag_texture_entropy,0.026219723897718802
month,0.025985768533593034
weather_vpd_mean,0.025726184079417045
weather_temp_max,0.023361480094243877
ndvi_valid_coverage_ratio,0.02017654119494802
ag_green_pixel_ratio,0.018382820648189323
month_cos,0.01810050373398688
ndvi_std,0.015406755301838458
ndvi_mean,0.014823778728800837
ndvi_median,0.011639242412756838
ndvi_p75,0.008071778488038769
ag_shadow_cloud_ratio,0.006577986138347329
weather_drought_index,0.006157631172194293
ndvi_cv,0.004725262649315329
weather_heat_stress_days,0.004035344183679328
ndvi_max,0.0017506136052792387
