model,model_type,val_rmse,val_mae,val_mse,val_r2,test_rmse,test_mae,test_mse,test_r2,trainable_parameters,total_parameters,status,model_dir,model_path,val_predictions_path,test_predictions_path,metrics_path
BaselineTrainMean,baseline,20.12966545769678,17.765877294313942,405.2034314387909,-0.4350840713664801,21.673225237109236,18.06845587402289,469.72869217846863,-0.0230024559007016,0,0,evaluated,training/yield_runs/corn/corn_yield_all/BaselineTrainMean,,training/yield_runs/corn/corn_yield_all/BaselineTrainMean/val_predictions.csv,training/yield_runs/corn/corn_yield_all/BaselineTrainMean/test_predictions.csv,training/yield_runs/corn/corn_yield_all/BaselineTrainMean/metrics.json
ExtraTrees,ml,22.97928660348544,20.016804509865732,528.0476128051255,-0.8701537530641581,19.748629475324872,16.331721998337798,390.0083661536703,0.15061710506405135,0,0,trained,training/yield_runs/corn/corn_yield_all/ExtraTrees,training/yield_runs/corn/corn_yield_all/ExtraTrees/model.joblib,training/yield_runs/corn/corn_yield_all/ExtraTrees/val_predictions.csv,training/yield_runs/corn/corn_yield_all/ExtraTrees/test_predictions.csv,training/yield_runs/corn/corn_yield_all/ExtraTrees/metrics.json
RandomForest,ml,23.95413765274651,20.622781099679898,573.800710686728,-1.032194685818395,19.591471041551966,15.94794207084925,383.8257375719693,0.1640819930479409,0,0,trained,training/yield_runs/corn/corn_yield_all/RandomForest,training/yield_runs/corn/corn_yield_all/RandomForest/model.joblib,training/yield_runs/corn/corn_yield_all/RandomForest/val_predictions.csv,training/yield_runs/corn/corn_yield_all/RandomForest/test_predictions.csv,training/yield_runs/corn/corn_yield_all/RandomForest/metrics.json
Ridge,ml,26.189631668319233,22.528771367197162,685.8968069222296,-1.4291985354618366,20.136401833270785,16.74155804287409,405.47467879095103,0.11693367018957534,34,34,trained,training/yield_runs/corn/corn_yield_all/Ridge,training/yield_runs/corn/corn_yield_all/Ridge/model.joblib,training/yield_runs/corn/corn_yield_all/Ridge/val_predictions.csv,training/yield_runs/corn/corn_yield_all/Ridge/test_predictions.csv,training/yield_runs/corn/corn_yield_all/Ridge/metrics.json
BaselinePreviousYearSameCounty,baseline,32.91916854777086,26.178645231677574,1083.6716578765463,-2.837973260216223,18.354003375999483,15.735989577432878,336.8694399262004,0.2663461481048667,0,0,evaluated,training/yield_runs/corn/corn_yield_all/BaselinePreviousYearSameCounty,,training/yield_runs/corn/corn_yield_all/BaselinePreviousYearSameCounty/val_predictions.csv,training/yield_runs/corn/corn_yield_all/BaselinePreviousYearSameCounty/test_predictions.csv,training/yield_runs/corn/corn_yield_all/BaselinePreviousYearSameCounty/metrics.json
