epoch,train_loss,val_loss,lr
1.0,0.5762359403266115,0.2165095633529252,0.001
2.0,0.5006774453870643,0.22386524066178484,0.001
3.0,0.4807049780582338,0.21438022414441862,0.001
4.0,0.4577980874028939,0.2310718494633633,0.001
5.0,0.4400592131579899,0.2344885780554428,0.001
6.0,0.42290422036056435,0.22377621154191116,0.001
7.0,0.4134161251897095,0.23808637271425137,0.001
8.0,0.39968257787920675,0.23808578113313475,0.0005
9.0,0.39518044572888,0.2695278204751737,0.0005
10.0,0.38678354071714527,0.26091098328832824,0.0005
11.0,0.3816571563114355,0.2630732291776323,0.0005
12.0,0.3750058720944037,0.26300906081392306,0.00025
13.0,0.37391564668094535,0.2646253476740937,0.00025
