epoch,train_loss,val_loss,lr
1.0,0.6048961777812838,0.2134638187359479,0.001
2.0,0.5246594341515692,0.21779866300849401,0.001
3.0,0.5163261480671254,0.22106233831206556,0.001
4.0,0.5115759711875658,0.21364758070871886,0.001
5.0,0.50897269109818,0.22111260012946146,0.001
6.0,0.5056799977649877,0.2215777167467156,0.0005
7.0,0.5036721199449866,0.21510227917621433,0.0005
8.0,0.5015502916575816,0.22756495093456422,0.0005
9.0,0.4993620024184988,0.21704058068167884,0.0005
10.0,0.497049913261876,0.2203443888261262,0.00025
11.0,0.4953187621134834,0.22069794887846167,0.00025
