model,model_type,val_rmse,val_mae,val_mse,val_r2,test_rmse,test_mae,test_mse,test_r2,trainable_parameters,total_parameters,status,model_dir,model_path,val_predictions_path,test_predictions_path,metrics_path
BaselineTrainMean,baseline,7.168582810560146,6.435628654970764,51.388579511858396,-3.0158843166768703,7.270250683409631,6.09528752482739,52.85654499961821,-0.08249730119970544,0,0,evaluated,training/yield_runs/soybeans/soybeans_yield_all/BaselineTrainMean,,training/yield_runs/soybeans/soybeans_yield_all/BaselineTrainMean/val_predictions.csv,training/yield_runs/soybeans/soybeans_yield_all/BaselineTrainMean/test_predictions.csv,training/yield_runs/soybeans/soybeans_yield_all/BaselineTrainMean/metrics.json
RandomForest,ml,7.772167966908905,7.165345397562949,60.40659490584491,-3.720618849763235,6.9628772291595595,5.804380658815447,48.48165930834871,0.007099965399741115,0,0,trained,training/yield_runs/soybeans/soybeans_yield_all/RandomForest,training/yield_runs/soybeans/soybeans_yield_all/RandomForest/model.joblib,training/yield_runs/soybeans/soybeans_yield_all/RandomForest/val_predictions.csv,training/yield_runs/soybeans/soybeans_yield_all/RandomForest/test_predictions.csv,training/yield_runs/soybeans/soybeans_yield_all/RandomForest/metrics.json
ExtraTrees,ml,7.783563088689035,7.183673681202412,60.583854355602384,-3.734471216398501,6.962794272264897,5.840959075428175,48.480504077884866,0.007123624416034868,0,0,trained,training/yield_runs/soybeans/soybeans_yield_all/ExtraTrees,training/yield_runs/soybeans/soybeans_yield_all/ExtraTrees/model.joblib,training/yield_runs/soybeans/soybeans_yield_all/ExtraTrees/val_predictions.csv,training/yield_runs/soybeans/soybeans_yield_all/ExtraTrees/test_predictions.csv,training/yield_runs/soybeans/soybeans_yield_all/ExtraTrees/metrics.json
Ridge,ml,8.177381289600905,7.550059700171354,66.86956475551496,-4.22568319489572,7.0269764109570945,5.8273097883464136,49.37839748014745,-0.011265151935527573,34,34,trained,training/yield_runs/soybeans/soybeans_yield_all/Ridge,training/yield_runs/soybeans/soybeans_yield_all/Ridge/model.joblib,training/yield_runs/soybeans/soybeans_yield_all/Ridge/val_predictions.csv,training/yield_runs/soybeans/soybeans_yield_all/Ridge/test_predictions.csv,training/yield_runs/soybeans/soybeans_yield_all/Ridge/metrics.json
BaselinePreviousYearSameCounty,baseline,9.029369626300571,7.832638888888889,81.52951584835931,-5.371320381917365,6.529806888681649,5.066513761467889,42.638378003474315,0.12676984247405443,0,0,evaluated,training/yield_runs/soybeans/soybeans_yield_all/BaselinePreviousYearSameCounty,,training/yield_runs/soybeans/soybeans_yield_all/BaselinePreviousYearSameCounty/val_predictions.csv,training/yield_runs/soybeans/soybeans_yield_all/BaselinePreviousYearSameCounty/test_predictions.csv,training/yield_runs/soybeans/soybeans_yield_all/BaselinePreviousYearSameCounty/metrics.json
