model,known_months,count,rmse,mae,nrmse_std,nrmse_range,smape,pearson_corr,r2,modality,lag1_rmse,seasonal_last_year_rmse,beats_lag1,beats_seasonal_last_year,raw_rmse,raw_mae,count_overall,feature_wins_vs_lag1,feature_wins_vs_seasonal_last_year,run_name,feature_group,selected_feature_count,target_mode,loss_mode,trainable_parameters,training_runtime_seconds,input_dim,output_dim,seq_len,checkpoint_size_bytes,sarima_fit_count,sarima_fallback_count
ensemble_mean,1,7590.0,405.0829617792833,56.089997060523366,0.6926017290051921,0.1464033141799606,53.64166184625239,0.9476042849497244,0.8900470218550753,all,994.3955882077872,411.057399610304,True,True,405.0829617792833,56.089997060523366,7590,20,13,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
lstm,1,7590.0,398.1840533110932,60.04371819765327,0.7818333060451151,0.1665764798941251,64.3682857671784,0.9477179032829016,0.893760315368418,all,994.3955882077872,411.057399610304,True,True,398.1840533110932,60.04371819765327,7590,20,3,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,24407,0.9607963690068572,23,23,6,101075,3450,0
naive_lag1,1,7590.0,994.3955882077872,179.77789160924308,1.6511846009808615,0.4141858045749896,96.70219697013762,0.8685084346591705,0.337421374472706,all,994.3955882077872,411.057399610304,False,False,994.3955882077872,179.77789160924308,7590,0,3,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
sarima,1,7590.0,415.58758012564687,60.10339167316264,0.7537161861047587,0.1561823998666919,54.20961332253752,0.9441353614226392,0.8842704765992426,all,994.3955882077872,411.057399610304,True,False,415.58758012564687,60.10339167316264,7590,20,5,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
seasonal_last_year,1,7590.0,411.057399610304,54.16237924124504,0.7220993610807007,0.1498744587924213,42.23309186487538,0.9481915217965876,0.8867797823591889,all,994.3955882077872,411.057399610304,True,False,411.05739961030395,54.162379241245034,7590,20,0,ablation_ia30_seq6_lstm_residual_ag_weather,ag_weather,23,seasonal_residual,raw_mse,0,,23,23,6,0,3450,0
ensemble_mean,1,11550.0,324.66282268603834,35.16426319531106,0.6616123097217266,0.1348175849025468,55.65213662667912,0.9511954674569912,0.893981072905829,all,806.1025424594511,333.2266589895171,True,True,324.66282268603834,35.16426319531106,11550,30,25,ablation_ia30_seq6_lstm_residual_all,all,35,seasonal_residual,raw_mse,0,,35,35,6,0,5250,0
lstm,1,11550.0,311.8024618143138,35.32542375369393,0.7438046021772853,0.1518539858922039,65.67142699174006,0.956357678985624,0.9022138456117708,all,806.1025424594511,333.2266589895171,True,True,311.8024618143138,35.32542375369393,11550,30,5,ablation_ia30_seq6_lstm_residual_all,all,35,seasonal_residual,raw_mse,28259,0.976343921996886,35,35,6,116499,5250,0
naive_lag1,1,11550.0,806.1025424594511,118.27476666378716,1.5803327437241073,0.388683155612911,86.64886429350719,0.8704168649915112,0.3464198303752196,all,806.1025424594511,333.2266589895171,False,False,806.1025424594511,118.27476666378716,11550,0,4,ablation_ia30_seq6_lstm_residual_all,all,35,seasonal_residual,raw_mse,0,,35,35,6,0,5250,0
sarima,1,11550.0,336.8986006903665,39.623277037237806,0.7302737897314101,0.1492335641957308,56.62626149072005,0.9449093838538604,0.8858392799177826,all,806.1025424594511,333.2266589895171,True,False,336.89860069036655,39.623277037237806,11550,31,9,ablation_ia30_seq6_lstm_residual_all,all,35,seasonal_residual,raw_mse,0,,35,35,6,0,5250,0
seasonal_last_year,1,11550.0,333.2266589895171,35.69487926133296,0.6935867842635387,0.140958657380273,41.89239618255581,0.948911547268984,0.8883142505490976,all,806.1025424594511,333.2266589895171,True,False,333.2266589895171,35.69487926133296,11550,30,0,ablation_ia30_seq6_lstm_residual_all,all,35,seasonal_residual,raw_mse,0,,35,35,6,0,5250,0
ensemble_mean,1,3960.0,3.2777176107694914,0.3351782634441335,0.6040159337046999,0.1149453924058281,58.6772482691943,0.2408851084776589,-0.0306838479288309,all,3.2447278024199524,3.315950532380822,False,True,3.2777176107694914,0.3351782634441335,3960,10,10,ablation_ia30_seq6_lstm_residual_ndvi,ndvi,12,seasonal_residual,raw_mse,0,,12,12,6,0,1800,0
