run_name,target_mode,states,max_counties,years,train_years,val_years,test_years,seq_len,loss_mode,feature_group,model,known_months,modality,rmse,mae,beats_lag1,beats_seasonal_last_year,runtime_seconds,status
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_mean,6,ndvi,4.400119863332799,0.5293250724198014,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_mean,6,weather,122.95172670438087,32.716192950249514,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_mean,9,ag,5.250149905675669,1.3071820161685337,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_mean,9,ndvi,0.5465526124214327,0.1589946512825766,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_mean,9,weather,110.45332221099606,30.330324633242217,True,False,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,0,ag,4.618999771779814,1.1945868349033937,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,0,ndvi,3.081589469829259,0.3513729089573543,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,0,weather,448.0543034536427,75.64792626599126,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,1,ag,4.164522415475214,1.0728293531076212,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,1,ndvi,3.2075762588147425,0.360889845800285,True,True,143.40200781822205,completed
ia30_seq6_seasonal_residual_blankfill,seasonal_residual,IA,10,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,6,raw_mse,all,ensemble_oracle_report_only,1,weather,476.0837330262046,79.2618034852138,True,True,143.40200781822205,completed
