run_name,states,max_counties,years,train_years,val_years,test_years,seq_len,epochs,batch_size,learning_rate,hidden_size,num_layers,dropout,loss_mode,feature_group,target_mode,split,model,modality,rmse,mae,r2,features_beating_naive,runtime_seconds,status
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,val,naive_lag1,weather,341.466838159286,80.25187683105469,,0.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,test,naive_lag1,ag,7.757100206080732,2.18254828453064,,0.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,test,naive_lag1,ndvi,2.8523311049453515,0.3677237629890442,,0.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,test,naive_lag1,weather,574.9478780724388,107.1949462890625,,0.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,val,lstm,ag,6.526542463721639,1.8930296897888184,,32.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,val,lstm,ndvi,2.46180152862846,0.4421069622039795,,32.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,val,lstm,weather,226.733134019931,51.89525985717773,,32.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,test,lstm,ag,6.799683720582243,2.154059648513794,,29.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,test,lstm,ndvi,2.13299012055861,0.3876951932907104,,29.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,test,lstm,weather,551.09110521764,91.07257080078124,,29.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,val,tiny_mamba_ssm,ag,4.815220447853429,1.4082293510437012,,33.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,val,tiny_mamba_ssm,ndvi,2.924894679855093,0.6722644567489624,,33.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,val,tiny_mamba_ssm,weather,246.9504156961474,58.2449836730957,,33.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,test,tiny_mamba_ssm,ag,4.472248761800573,1.3401445150375366,,30.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,test,tiny_mamba_ssm,ndvi,2.893468664347353,0.7285188436508179,,30.0,2.7326509952545166,completed
ia10_seq12_h128_l2,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.001,128.0,2.0,0.2,raw_mse,all,raw,test,tiny_mamba_ssm,weather,539.491108592162,94.36519622802734,,30.0,2.7326509952545166,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,val,naive_lag1,ag,7.874177435649131,2.240698337554932,,0.0,3.8526997566223145,completed
ia10_seq12_h128_l2_lr3e4,IA,10.0,2017 2018 2019 2020 2021,2017 2018 2019,2020,2021,12.0,150.0,64.0,0.0003,128.0,2.0,0.2,raw_mse,all,raw,val,naive_lag1,ndvi,3.5392150172365087,0.4227045774459839,,0.0,3.8526997566223145,completed
