model,known_months,count,rmse,mae,nrmse_std,nrmse_range,smape,pearson_corr,r2,modality,lag1_rmse,seasonal_last_year_rmse,beats_lag1,beats_seasonal_last_year,raw_rmse,raw_mae,count_overall,feature_wins_vs_lag1,feature_wins_vs_seasonal_last_year,run_name,feature_group,selected_feature_count,target_mode,loss_mode,trainable_parameters,training_runtime_seconds,input_dim,output_dim,seq_len,checkpoint_size_bytes,sarima_fit_count,sarima_fallback_count
sarima,1,2640.0,5.177883370349858,1.5268514875703576,0.6658053248461768,0.1261049132343066,53.1771473971716,0.9673019210693552,0.9170992671230204,all,15.970441345186568,4.164559188742336,True,False,5.177883370349858,1.5268514875703576,2640,7,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
sarima,3,2160.0,5.3366923529289165,1.5217730710783075,0.5809461576276681,0.1170899786254944,42.19399446887211,0.9759129678458792,0.9265595729572448,all,19.104871418121487,4.062688833029685,True,False,5.3366923529289165,1.5217730710783077,2160,8,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
sarima,6,1440.0,5.827187719349071,1.66618274044045,0.5870900477815882,0.1216033771243229,38.80054681015803,0.9772802230876196,0.9340691447765092,all,14.705098622697168,4.247728480093026,True,False,5.827187719349071,1.66618274044045,1440,8,1,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
sarima,9,720.0,4.802199162656385,1.4430520649805354,0.695129732939307,0.131502350874395,37.66360971266174,0.9291214795424868,0.8612192800849775,all,22.83782855597976,4.992335853852052,True,True,4.802199162656385,1.4430520649805354,720,7,3,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
seasonal_last_year,0,2880.0,4.619036433402385,1.1939320177868926,0.6848276731331582,0.1230544057739202,46.47934598006003,0.9638282167331405,0.9288950764286604,all,14.691387062635464,4.619036433402385,True,False,4.619036433402385,1.1939320177868926,2880,7,0,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
seasonal_last_year,1,2640.0,4.164559188742336,1.0734729028126864,0.6201424964534367,0.1100451786279423,43.58409306991252,0.9732168317750096,0.9463719604590216,all,15.970441345186568,4.164559188742336,True,False,4.164559188742336,1.0734729028126864,2640,7,0,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
seasonal_last_year,3,2160.0,4.062688833029685,1.018442836591671,0.5076641221119282,0.0949862400036303,33.528850442998184,0.979433984438495,0.9574383965978756,all,19.104871418121487,4.062688833029685,True,False,4.062688833029685,1.018442836591671,2160,7,0,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
seasonal_last_year,6,1440.0,4.247728480093026,1.0418540038466744,0.4803335614614406,0.0929561651761801,31.175928850614618,0.9831689336912603,0.9649664469900496,all,14.705098622697168,4.247728480093026,True,False,4.247728480093026,1.0418540038466744,1440,7,0,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
seasonal_last_year,9,720.0,4.992335853852052,1.1335828511668498,0.492256446068907,0.1058338811109593,27.362095603820933,0.92784872917352,0.8500120447813674,all,22.83782855597976,4.992335853852052,True,False,4.992335853852052,1.1335828511668498,720,7,0,ablation_ia30_seq6_lstm_residual_ag,ag,8,seasonal_residual,raw_mse,0,,8,8,6,0,1200,0
ensemble_mean,0,7200.0,3.727778652708542,0.6981744234812022,0.6366441852145329,0.1182753339400894,55.94961369271719,0.9462063971656652,0.8949354960874282,all,9.596684652399787,3.818737512739183,True,True,3.727778652708542,0.6981744234812022,7200,17,18,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
ensemble_mean,1,6600.0,3.649856693833117,0.6621913652972945,0.5878354017676611,0.1097530049080187,54.791774162061714,0.9529668426559704,0.906724850180784,all,10.40859999284707,3.678958827512655,True,True,3.649856693833117,0.6621913652972945,6600,17,19,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
ensemble_mean,3,5400.0,3.832477174999555,0.6630654509494345,0.4608801505579181,0.0941094743497502,51.04445101750928,0.9579077227648276,0.9150477394003154,all,12.398169016646657,3.829117697786266,True,False,3.832477174999555,0.6630654509494345,5400,17,16,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
ensemble_mean,6,3600.0,4.4041548929175525,0.7632069297063393,0.4752712507779538,0.0963357515870167,52.8860009487582,0.9584774397284272,0.9163286429751112,all,9.960426700912969,4.363245337700541,True,False,4.4041548929175525,0.7632069297063393,3600,16,13,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
ensemble_mean,9,1800.0,3.0139377452659626,0.5309310181889622,0.3941002202622237,0.0895814167195463,42.74283963193202,0.936105347262358,0.8733830225057145,all,14.70592719639677,3.158080788005701,True,True,3.0139377452659626,0.5309310181889622,1800,17,12,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
lstm,0,7200.0,3.985057468098147,0.8211140080830915,0.6900231613196418,0.128701469350874,64.48755313790734,0.9404120200697031,0.8799326412511201,all,9.596684652399787,3.818737512739183,True,False,3.985057468098147,0.8211140080830915,7200,17,7,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,23444,0.9532217379892244,20,20,6,97235,3000,0
lstm,1,6600.0,3.920830752101466,0.7951276397256565,0.636447877509124,0.1198862257135689,63.68931911568959,0.9462702176134954,0.8923607822383555,all,10.40859999284707,3.678958827512655,True,False,3.920830752101466,0.7951276397256565,6600,17,6,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,23444,0.9532217379892244,20,20,6,97235,3000,0
lstm,3,5400.0,4.099014829045744,0.8166393606192691,0.5375093885176525,0.1073058921468195,59.89327837572672,0.951739887837193,0.9028204778593028,all,12.398169016646657,3.829117697786266,True,False,4.0990148290457435,0.8166393606192691,5400,17,0,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,23444,0.9532217379892244,20,20,6,97235,3000,0
lstm,6,3600.0,4.740172823352803,0.921396360132106,0.5541694481461172,0.1095302939415043,61.41893523625309,0.9516843471098624,0.9030740672259988,all,9.960426700912969,4.363245337700541,True,False,4.740172823352803,0.9213963601321059,3600,14,1,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,23444,0.9532217379892244,20,20,6,97235,3000,0
lstm,9,1800.0,3.4565744176103426,0.6559235748066566,0.4620829738609263,0.1044029469483773,52.375533927994894,0.9150733211560184,0.8334612846254662,all,14.70592719639677,3.158080788005701,True,False,3.4565744176103426,0.6559235748066566,1800,15,2,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,23444,0.9532217379892244,20,20,6,97235,3000,0
naive_lag1,0,7200.0,9.596684652399787,1.755330038885877,1.1861608126066792,0.2816967014511363,63.96961574850564,0.6427949801436318,0.3036970582189719,all,9.596684652399787,3.818737512739183,False,False,9.596684652399787,1.755330038885877,7200,0,2,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
naive_lag1,1,6600.0,10.40859999284707,2.0031813048188494,1.3523041902945083,0.3144504603235397,74.33839469177228,0.5671895029194592,0.2414242298276475,all,10.40859999284707,3.678958827512655,False,False,10.40859999284707,2.0031813048188494,6600,0,2,ablation_ia30_seq6_lstm_residual_ag_ndvi,ag_ndvi,20,seasonal_residual,raw_mse,0,,20,20,6,0,3000,0
