epoch,train_loss,val_loss,lr
1.0,0.6218817280532267,0.219875164204575,0.001
2.0,0.5262114180191331,0.20956185179125983,0.001
3.0,0.5101886595339085,0.21361553056874258,0.001
4.0,0.4967516564025087,0.2095843357871277,0.001
5.0,0.4852876620394346,0.22501499644834988,0.001
6.0,0.4717858612336695,0.2221121469431052,0.001
7.0,0.4616837669101227,0.2270195387830638,0.0005
8.0,0.45628626385388016,0.2244821077444738,0.0005
9.0,0.449949613892537,0.2261507294394753,0.0005
10.0,0.4459248117926948,0.2168965207707601,0.0005
11.0,0.44237854090068746,0.22438662110354363,0.00025
12.0,0.44223328173896415,0.2236897195328767,0.00025
