feature,importance
weather_precipitation_days,0.1238678520408123
ag_brown_yellow_pixel_ratio,0.063768122799624
month_sin,0.05387643227489684
ndvi_p25,0.053707443723907546
weather_solar_radiation_mean,0.050990410515722145
weather_temp_mean,0.045344028802625995
ndvi_above_0_3_ratio,0.04345214147963044
ag_mean_brightness,0.04128848774412718
weather_gdd,0.039304956616184064
weather_temp_min,0.03449831444935676
month,0.03215088629752392
weather_humidity_mean,0.029188487548285326
ag_field_uniformity_score,0.029169019090492205
ndvi_valid_coverage_ratio,0.02885980696410057
weather_total_precipitation,0.02847548367828026
weather_vpd_mean,0.026603558997537753
weather_wind_mean,0.025047294117176423
weather_cold_stress_days,0.02367181506303545
ag_soil_exposure_ratio,0.023582650876808647
month_cos,0.022984155643525482
ag_green_pixel_ratio,0.02181386295327647
weather_temp_range_mean,0.021527515592572325
weather_temp_max,0.021518929404897698
weather_heavy_rain_days,0.01921019900240333
ag_texture_entropy,0.017074513836975558
ndvi_mean,0.014402136939861941
ndvi_std,0.013599605453820895
ndvi_median,0.01166264993560198
ag_shadow_cloud_ratio,0.009150048525939926
ndvi_p75,0.007605724926808747
weather_drought_index,0.005436618425635353
weather_heat_stress_days,0.005416659778979358
ndvi_cv,0.004802177969013947
ndvi_max,0.0034925839606492893
ndvi_above_0_5_ratio,0.003455424569909735
