epoch,train_loss,val_loss,lr
1.0,0.622591341652319,0.22228057526980186,0.001
2.0,0.5231991943419314,0.21380825225351635,0.001
3.0,0.5122305216345053,0.2181415784639943,0.001
4.0,0.5026874127813461,0.2147708664137105,0.001
5.0,0.49102750571087156,0.22311632345220456,0.001
6.0,0.4747987441074701,0.2273508506993252,0.001
7.0,0.46047587647582544,0.2275197061424705,0.0005
8.0,0.4523200777377076,0.22786789966954124,0.0005
9.0,0.4461501775901058,0.21902726134065828,0.0005
10.0,0.43805483100657777,0.23062524314881977,0.0005
11.0,0.4327643228366586,0.23133233866908334,0.00025
12.0,0.43169390058142837,0.23374753668653442,0.00025
