model,model_type,split,rmse,mae,mse,r2,val_rmse,val_mae,val_mse,val_r2,checkpoint_path,history_path,loss_curve_path,predictions_path,trainable_parameters,total_parameters,status
seasonal_last_year,baseline,test,3.2526788674972935,0.42000022530555725,10.579919815063477,0.8630625605583191,4.732617143167585,0.3600773513317108,22.39766502380371,0.7087078094482422,,,,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/seasonal_last_year/test_predictions.csv,0,0,evaluated
lstm,learned,test,3.308914259121676,0.5015737414360046,10.94891357421875,0.8582866191864014,4.80980656542208,0.4654141962528229,23.134239196777344,0.699128270149231,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/lstm/checkpoint.pt,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/lstm/history.csv,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/lstm/loss_curve.png,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/lstm/test_predictions.csv,28259,28259,trained
ensemble_weighted,ensemble,test,3.354561697560392,0.47241151332855225,11.253084182739258,0.854349672794342,4.8104891849083415,0.43270155787467957,23.140806198120117,0.6990428566932678,,,,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/ensemble/ensemble_weighted_test_predictions.csv,0,0,evaluated
ensemble_mean,ensemble,test,3.35554491873677,0.4729257822036743,11.259681701660156,0.8542642593383789,4.8111425689968765,0.4332024157047272,23.147092819213867,0.6989611387252808,,,,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/ensemble/ensemble_mean_test_predictions.csv,0,0,evaluated
tiny_mamba_ssm,learned,test,3.3910652964680095,0.5127897262573242,11.499323844909668,0.8511625528335571,4.811860871914231,0.4663781225681305,23.15400505065918,0.6988712549209595,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/tiny_mamba_ssm/checkpoint.pt,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/tiny_mamba_ssm/history.csv,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/tiny_mamba_ssm/loss_curve.png,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/tiny_mamba_ssm/test_predictions.csv,28003,28003,trained
transformer_encoder,learned,test,3.451009801611388,0.5348507165908813,11.909468650817871,0.8458539843559265,4.863006510500165,0.4943542182445526,23.648832321166992,0.6924357414245605,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/transformer_encoder/checkpoint.pt,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/transformer_encoder/history.csv,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/transformer_encoder/loss_curve.png,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/transformer_encoder/test_predictions.csv,87459,87459,trained
gru,learned,test,3.582554902682903,0.5898902416229248,12.834699630737305,0.8338786363601685,4.966583163350982,0.5473600029945374,24.666948318481445,0.6791946887969971,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/gru/checkpoint.pt,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/gru/history.csv,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/gru/loss_curve.png,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/gru/test_predictions.csv,21795,21795,trained
naive_lag1,baseline,test,4.464153566856929,0.6239668130874634,19.928667068481445,0.7420603036880493,4.574982798392888,0.6329175233840942,20.93046760559082,0.7277894020080566,,,,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models/naive_lag1/test_predictions.csv,0,0,evaluated
