model,model_type,checkpoint_path,history_path,predictions_path,trainable_parameters,total_parameters,status
lstm,learned,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/lstm/checkpoint.pt,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/lstm/history.csv,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/lstm/test_predictions.csv,10051,10051,trained
gru,learned,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/gru/checkpoint.pt,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/gru/history.csv,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/gru/test_predictions.csv,7843,7843,trained
transformer_encoder,learned,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/transformer_encoder/checkpoint.pt,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/transformer_encoder/history.csv,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/transformer_encoder/test_predictions.csv,31459,31459,trained
tiny_mamba_ssm,learned,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/tiny_mamba_ssm/checkpoint.pt,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/tiny_mamba_ssm/history.csv,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/tiny_mamba_ssm/test_predictions.csv,9955,9955,trained
naive_lag1,baseline,,,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/naive_lag1/test_predictions.csv,0,0,evaluated
seasonal_last_year,baseline,,,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/seasonal_last_year/test_predictions.csv,0,0,evaluated
ensemble_mean,ensemble,,,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/ensemble/ensemble_mean_test_predictions.csv,0,0,evaluated
ensemble_weighted,ensemble,,,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/ensemble/ensemble_weighted_test_predictions.csv,0,0,evaluated
