model,model_type,split,rmse,mae,mse,r2,val_rmse,val_mae,val_mse,val_r2,checkpoint_path,history_path,loss_curve_path,predictions_path,trainable_parameters,total_parameters,status
seasonal_last_year,baseline,test,3.2526788674972935,0.42000022530555725,10.579919815063477,0.8630625605583191,4.732617143167585,0.3600773513317108,22.39766502380371,0.7087078094482422,,,,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/seasonal_last_year/test_predictions.csv,0,0,evaluated
ensemble_weighted,ensemble,test,3.3133486254497173,0.46849116683006287,10.978279113769531,0.8579065203666687,4.761626820854308,0.40960684418678284,22.6730899810791,0.7051257491111755,,,,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/ensemble/ensemble_weighted_test_predictions.csv,0,0,evaluated
ensemble_mean,ensemble,test,3.3135447743863056,0.4684212803840637,10.979578971862793,0.857889711856842,4.76184592573966,0.40955203771591187,22.6751766204834,0.7050986289978027,,,,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/ensemble/ensemble_mean_test_predictions.csv,0,0,evaluated
gru,learned,test,3.322326767239404,0.5137587785720825,11.03785514831543,0.8571354150772095,4.793271180352561,0.4525297284126282,22.975448608398438,0.7011934518814087,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/gru/checkpoint.pt,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/gru/history.csv,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/gru/loss_curve.png,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/gru/test_predictions.csv,7843,7843,trained
tiny_mamba_ssm,learned,test,3.3484028325353363,0.5307205319404602,11.211801528930664,0.8548840284347534,4.750267824352241,0.46507665514945984,22.565044403076172,0.7065309286117554,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/tiny_mamba_ssm/checkpoint.pt,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/tiny_mamba_ssm/history.csv,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/tiny_mamba_ssm/loss_curve.png,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/tiny_mamba_ssm/test_predictions.csv,9955,9955,trained
lstm,learned,test,3.372298395622222,0.5092153549194336,11.372396469116211,0.8528053760528564,4.809363990657071,0.44745248556137085,23.129981994628906,0.6991836428642273,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/lstm/checkpoint.pt,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/lstm/history.csv,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/lstm/loss_curve.png,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/lstm/test_predictions.csv,10051,10051,trained
transformer_encoder,learned,test,3.4411140170598475,0.5077773928642273,11.841265678405762,0.8467367887496948,4.843246335331011,0.446972131729126,23.457035064697266,0.6949301958084106,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/transformer_encoder/checkpoint.pt,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/transformer_encoder/history.csv,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/transformer_encoder/loss_curve.png,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/transformer_encoder/test_predictions.csv,31459,31459,trained
naive_lag1,baseline,test,4.464153566856929,0.6239668130874634,19.928667068481445,0.7420603036880493,4.574982798392888,0.6329175233840942,20.93046760559082,0.7277894020080566,,,,/mnt/c/Users/lobakkang/GITHUB/Crop-Net/training/runs/all_models_aug_strong/naive_lag1/test_predictions.csv,0,0,evaluated
