epoch,train_loss,train_forecast_loss,train_physics_loss,train_physics_latent_loss,train_physics_ag_loss,train_physics_ndvi_loss,train_physics_weather_loss,train_physics_weather_identity_loss,train_physics_weather_threshold_loss,train_physics_weather_drought_loss,train_physics_weather_bounded_loss,train_physics_consistency_loss,train_physics_growth_loss,train_physics_phenology_loss,train_physics_water_loss,val_loss,val_forecast_loss,val_physics_loss,val_physics_latent_loss,val_physics_ag_loss,val_physics_ndvi_loss,val_physics_weather_loss,val_physics_weather_identity_loss,val_physics_weather_threshold_loss,val_physics_weather_drought_loss,val_physics_weather_bounded_loss,val_physics_consistency_loss,val_physics_growth_loss,val_physics_phenology_loss,val_physics_water_loss,lr
1.0,0.8120698966294961,0.8120698966294961,1.2024941241032079,0.6356463100506132,0.04379058758467937,0.09361781878135556,3.627817133326589,14.67217391214253,3.3172914818614956,0.023299060251843917,0.0,0.5830145512365733,0.012876018495053288,0.029536286927132494,0.010219443042780347,0.5860601154842762,0.5860601154842762,1.159786101142164,0.5555358669573209,0.039836647371551404,0.09188107744812564,3.518430096533162,14.777678191059767,2.21193349080455,0.023861596780995326,0.0,0.5204333823537987,0.009806598433189921,0.018885335417759136,0.006410553433653281,0.001
2.0,0.6685130128555427,0.6685130128555427,1.1962250643707686,0.5902350369661077,0.041446398680258276,0.09105614579453078,3.627817117271466,14.672173950674825,3.3172914374423215,0.02329906059468769,0.0,0.5437190245030036,0.010475302901114814,0.023031896201833064,0.013008814883093307,0.6735783321688874,0.6735783321688874,1.1627349215324478,0.5890798964082994,0.039437852875150815,0.09116623495463971,3.518430096533162,14.777678191059767,2.21193349080455,0.023861596780995326,0.0,0.5513567398694228,0.009386680176738738,0.0181256706515948,0.01021080812821886,0.001
3.0,0.5951571554179679,0.5951571554179679,1.1958845980908601,0.5889882633983086,0.04175765453665345,0.09028322749701145,3.627817140016224,14.672173851133062,3.317291477312544,0.02329906031664975,0.0,0.5394960639185108,0.010750797828063619,0.02213273162710011,0.01660866353673365,0.7339916939687248,0.7339916939687248,1.1640911844844368,0.5955905727665833,0.03985805298995088,0.09261404928635267,3.518430096533162,14.777678191059767,2.21193349080455,0.023861596780995326,0.0,0.5495030540809889,0.009824938921615331,0.019821448759599167,0.016441128803072153,0.001
4.0,0.5444498106954341,0.5444498106954341,1.1961820652723045,0.5870789967134478,0.04258150814726163,0.09088631262783249,3.6278171445651757,14.672173888595015,3.3172914674118847,0.023299060166132972,0.0,0.5298194859164331,0.011552720303478934,0.027035575978850944,0.01867121360217682,0.7393111341730111,0.7393111341730111,1.1601618560476334,0.5569071079344059,0.0394491453589213,0.09276829790386688,3.518430096533162,14.777678191059767,2.21193349080455,0.023861596780995326,0.0,0.5090282691849602,0.009420722729278734,0.02462967095100117,0.013828454714782711,0.001
5.0,0.5017164869340582,0.5017164869340582,1.1965257068541983,0.5876130713892036,0.043776670983008935,0.0907155154178841,3.627817149916883,14.672174006332586,3.3172914674118847,0.023299060268568,0.0,0.5257214144557949,0.012757783500617736,0.028076636070839215,0.021057239556988214,0.7798374921384484,0.7798374921384484,1.1608111930615974,0.5705127256486552,0.038545558762169044,0.09166794001855433,3.518430096533162,14.777678191059767,2.21193349080455,0.023861596780995326,0.0,0.5236757913422504,0.008493012958754995,0.024013575981763076,0.014330349147620828,0.001
6.0,0.47415808910205043,0.47415808910205043,1.196591318657101,0.5876588270185237,0.04442798158971281,0.09037963613683794,3.627817146170688,14.67217397422234,3.3172914540326155,0.023299060023978236,0.0,0.5227053346055927,0.01341474798584292,0.02923811150779561,0.022300632005739292,0.7872517199227305,0.7872517199227305,1.1628967094100284,0.5873063393313476,0.03912804679637806,0.092246461295921,3.518430096533162,14.777678191059767,2.21193349080455,0.023861596780995326,0.0,0.5334300816259802,0.009151604362083003,0.026970940331617992,0.0177537118671117,0.001
7.0,0.4552741625359832,0.4552741625359832,1.1965620287607281,0.5829897545002125,0.04470069894167845,0.0912690954042471,3.6278171493817126,14.672173959237558,3.3172914358368093,0.023299060103417646,0.0,0.5140212845521342,0.013718336429676892,0.030269083841865847,0.024981047684278685,0.7532085174261921,0.7532085174261921,1.1575816388082023,0.5363695820172628,0.037855582481080834,0.09264729718868982,3.518430096533162,14.777678191059767,2.21193349080455,0.023861596780995326,0.0,0.4878437141778092,0.007863266606774394,0.027378923639103218,0.013283668606469928,0.001
8.0,0.4347544826241053,0.4347544826241053,1.1968064718910072,0.5819121217219249,0.045249014444791374,0.0917383991474522,3.6278171319886625,14.672173883243309,3.3172914700877385,0.023299060396089165,0.0,0.5111211557045796,0.014256263617948784,0.030379884760287475,0.02615481463295442,0.8071698118941952,0.8071698118941952,1.1572591206842802,0.5328199490152224,0.039119323960157354,0.09178059497967313,3.518430096533162,14.777678191059767,2.21193349080455,0.023861596780995326,0.0,0.4783053923937608,0.00921677371882128,0.029280942711063507,0.016016835202572723,0.001
9.0,0.4090870705785441,0.4090870705785441,1.1984718240605192,0.5937275600888244,0.04654789970629544,0.0919737527366439,3.6278171632961524,14.672173961378242,3.3172914783828857,0.023299060128503777,0.0,0.518774701556239,0.015621352570777389,0.03129517862951649,0.028036322200087584,0.7589713766518666,0.7589713766518666,1.159677191214128,0.5492126309510433,0.039714623129729065,0.09328113370872909,3.518430096533162,14.777678191059767,2.21193349080455,0.023861596780995326,0.0,0.49249532347175007,0.00976896148350604,0.029838003882956425,0.0171103509839135,0.0005
10.0,0.3964799929548193,0.3964799929548193,1.1992292900545696,0.5958161532678187,0.04736746258941697,0.09273060381947677,3.627817137875541,14.672173827585548,3.3172914931000816,0.023299060195400123,0.0,0.517917269073619,0.016444927137909515,0.032536909584160875,0.028917042666044834,0.7770519274653811,0.7770519274653811,1.1577135147871795,0.5270475211368265,0.04015115352491738,0.09358582663214969,3.518430096533162,14.777678191059767,2.21193349080455,0.023861596780995326,0.0,0.4698379396990895,0.010222786883839253,0.029397776469538107,0.01758902058983692,0.0005
11.0,0.4290788572377763,0.393419554471702,1.1886434902914713,0.5024860998329223,0.04546404767501368,0.09102620639316696,3.6278171520575664,14.672173944252776,3.317291482396666,0.0232990605194293,0.0,0.4352532550274456,0.014281463277276384,0.027801899247782935,0.025149483814852273,0.7760470154309513,0.7419788028656031,1.1356073084102336,0.33262432685203425,0.03842177549345726,0.08822314012231249,3.518430096533162,14.777678191059767,2.21193349080455,0.023861596780995326,0.0,0.29344250668178906,0.008056921417188364,0.020212792625230572,0.01091210190394912,0.0005
12.0,0.4211397986821454,0.38612588530972886,1.1671305362356765,0.31321455255635794,0.042808864976453996,0.08655302765059016,3.6278171606202987,14.672173945323118,3.3172914460050538,0.023299060199581147,0.0,0.2644964436154842,0.011431203280208689,0.018484839504766544,0.018802066589679516,0.840656031863858,0.8069632069430367,1.123094572362675,0.22360614172938698,0.0383771459387007,0.08422935420415217,3.518430096533162,14.777678191059767,2.21193349080455,0.023861596780995326,0.0,0.19309937301709595,0.00793723119830443,0.013603167053349692,0.00896636971746029,0.0005
