epoch,train_loss,val_loss,lr
1.0,0.5402378833588258,0.21050681585213954,0.001
2.0,0.4776813498918724,0.22582934681413952,0.001
3.0,0.447606810415634,0.23088481570735123,0.001
4.0,0.42745645054930653,0.21336910138627896,0.001
5.0,0.41380236134785997,0.23757284081945515,0.001
6.0,0.3973589200028934,0.23376286852640737,0.0005
7.0,0.39247082770874203,0.2413296943361109,0.0005
8.0,0.3865775378331057,0.22961709374931927,0.0005
9.0,0.3827380687834572,0.2616514356850775,0.0005
10.0,0.37583419172183163,0.25231378778865443,0.00025
11.0,0.36860266107100026,0.2375048390943996,0.00025
