epoch,train_loss,val_loss,lr
1.0,0.5856184607536838,0.21494558022078442,0.001
2.0,0.5175450339863196,0.2123850486695967,0.001
3.0,0.5050341841481484,0.21357294701365911,0.001
4.0,0.48559273653961593,0.21457154175849877,0.001
5.0,0.4681095133392364,0.20539895146583467,0.001
6.0,0.45526489568612927,0.20775344064741424,0.001
7.0,0.4438415322574033,0.21825322629225374,0.001
8.0,0.43349351017295845,0.21917817769227205,0.001
9.0,0.4300964323157815,0.2205133567554782,0.001
10.0,0.4172803260193663,0.22069881806269237,0.0005
11.0,0.4150992679074156,0.23170163796004223,0.0005
12.0,0.4094766783125607,0.22444948162695375,0.0005
13.0,0.4058448346509409,0.22806167371746666,0.0005
14.0,0.40063541451956153,0.23797544836997986,0.00025
15.0,0.39900065210933233,0.22901356476123888,0.00025
