model,model_type,rmse,mae,r2,mape,n_train,n_test,rmse_delta_vs_reference_prev_year,mae_delta_vs_reference_prev_year,r2_delta_vs_reference_prev_year,mape_delta_vs_reference_prev_year
BaselinePreviousYearSameCounty,baseline,18.354003375999483,15.735989577432878,0.2663461481048667,8.400475044426894,5460,1164,-5.665996624000517,-7.494010422567122,0.035346148104866665,-5.159524955573106
ExtraTrees,ml,20.132907761206468,16.329507391895753,0.11724010325755274,8.56813485267485,5460,1164,-3.8870922387935316,-6.900492608104248,-0.11375989674244727,-4.99186514732515
Ridge,ml,20.270139507542492,16.792270990093826,0.10516479297258163,8.876601731128938,5460,1164,-3.7498604924575076,-6.437729009906175,-0.12583520702741838,-4.683398268871063
RandomForest,ml,20.759371361923375,16.83566734704716,0.06144876916800379,8.84772023923259,5460,1164,-3.260628638076625,-6.394332652952841,-0.16955123083199622,-4.7122797607674105
BaselineTrainMean,baseline,21.673225237109236,18.06845587402289,-0.0230024559007016,9.656702378570902,5460,1164,-2.346774762890764,-5.161544125977109,-0.2540024559007016,-3.9032976214290986
