epoch,train_loss,val_loss,lr
1.0,0.5621990594598982,0.21977317212808012,0.001
2.0,0.49684544431106276,0.22523990138010544,0.001
3.0,0.4657099582129456,0.24883468574546402,0.001
4.0,0.4404387619225131,0.21934349594092128,0.001
5.0,0.4254576631065972,0.2243046464041026,0.001
6.0,0.41014202067881456,0.2559974989806763,0.001
7.0,0.39733649888959127,0.2556690892286172,0.001
8.0,0.386836014111034,0.27534678006413005,0.001
9.0,0.37353342467151773,0.27692136951167173,0.0005
10.0,0.36624952351337864,0.2694926440013378,0.0005
11.0,0.36334952257163866,0.28523762795058166,0.0005
12.0,0.3568727892523529,0.28719197118322454,0.0005
13.0,0.35158428820696747,0.2822132659981949,0.00025
14.0,0.35114852965346355,0.2787081501399628,0.00025
