feature,importance
weather_cold_stress_days,0.08624905442059339
weather_temp_max,0.058281639994319887
weather_gdd,0.05119254218264812
weather_temp_mean,0.050857349695056134
ndvi_low_ratio,0.04202242862050176
weather_temp_range_mean,0.039786550913599124
weather_total_precipitation,0.03676137206839016
weather_precipitation_days,0.03536567891875621
ag_green_pixel_ratio,0.03436148587572425
ag_brown_yellow_pixel_ratio,0.03381624079643769
ndvi_std,0.03216769029638906
ag_vegetation_area_percent,0.031028443875387904
ndvi_above_0_5_ratio,0.029730759176737537
weather_humidity_mean,0.029016189043121265
month_sin,0.026446102377060306
ndvi_above_0_7_ratio,0.025736448330906204
ag_mean_brightness,0.023120651180113246
ndvi_max,0.022657239325632753
ndvi_valid_coverage_ratio,0.021189780870179108
ag_soil_exposure_ratio,0.020458617093583938
weather_heavy_rain_days,0.01999637896021332
weather_temp_min,0.01991201996574275
weather_vpd_mean,0.019572832257516562
ndvi_above_0_3_ratio,0.01817758563371616
ag_shadow_cloud_ratio,0.01817455416563527
ag_texture_entropy,0.0166688363841221
weather_solar_radiation_mean,0.016621984332465704
ag_field_uniformity_score,0.01569310863701235
weather_wind_mean,0.015551298234536312
ndvi_median,0.015432279571395261
weather_heat_stress_days,0.014972487383792454
month,0.014145026817922565
ndvi_p25,0.012684382288841185
weather_drought_index,0.012181656931239198
month_cos,0.012153079158995172
ndvi_p75,0.010645212861385188
ndvi_mean,0.008908203525723999
ndvi_cv,0.008262807834606357
