epoch,train_loss,val_loss,lr
1.0,0.5828503926193674,0.21907843694542395,0.001
2.0,0.5150340562048719,0.23231770293881196,0.001
3.0,0.5045546545457893,0.23004430467231507,0.001
4.0,0.4952810105651316,0.236902970557261,0.001
5.0,0.4797102643049392,0.24307246089784385,0.001
6.0,0.4574223794252115,0.2490074658132964,0.0005
7.0,0.44366723439508815,0.25708574106797627,0.0005
8.0,0.4321513558276976,0.2603697395485258,0.0005
9.0,0.4207917411386231,0.2720321597474994,0.0005
10.0,0.4127995328670399,0.269561953667037,0.00025
11.0,0.40824565625886455,0.27304681086981736,0.00025
