feature,importance
ndvi_max,0.06482955932940761
weather_cold_stress_days,0.05984532745280577
weather_humidity_mean,0.05881661711906175
ndvi_p25,0.05863861983924117
weather_gdd,0.057880176401657206
weather_total_precipitation,0.04024842888423108
weather_temp_max,0.03597556934960924
ndvi_valid_coverage_ratio,0.03379892239546833
ndvi_mean,0.03174371047091032
ag_shadow_cloud_ratio,0.029326397999555193
ag_soil_exposure_ratio,0.029010150715071414
ndvi_low_ratio,0.028307544038484
weather_precipitation_days,0.027168256868504593
weather_temp_range_mean,0.02657522949256827
weather_temp_mean,0.025313209584884477
ag_mean_brightness,0.025241510044507812
ag_texture_entropy,0.02517359272888187
ndvi_cv,0.02491165452786023
weather_solar_radiation_mean,0.0240761552749626
ndvi_p75,0.023550725201937194
weather_vpd_mean,0.02215469452486928
ag_brown_yellow_pixel_ratio,0.02124245290401474
weather_heat_stress_days,0.019934084150301554
ndvi_std,0.01987815905637514
ag_green_pixel_ratio,0.019506695822909752
ndvi_above_0_5_ratio,0.019329402634752243
ndvi_above_0_3_ratio,0.016495998127619944
weather_wind_mean,0.016088265097492793
ag_field_uniformity_score,0.015936206365559927
ndvi_above_0_7_ratio,0.015384613978818351
ag_vegetation_area_percent,0.01492262950669928
weather_heavy_rain_days,0.013654701147469602
weather_temp_min,0.013354950949309623
weather_drought_index,0.010710659263677499
month_sin,0.010298314261322132
ndvi_median,0.009974619071549003
month,0.009767959687245082
month_cos,0.0009342357304039032
